ID,Combo#,A,B,C,y
Run1,0,61.3,18,41.8,178.6
Run2,8,94.1,23,43,147.8
Run3,3,22.9,23,40.6,146.5
Run4,1,22.9,13,40.6,233.7
Run5,2,22.9,13,43,275.4
Run6,4,22.9,23,43,181
Run7,7,94.1,23,40.6,134
Run8,6,94.1,13,43,245.7
Run9,5,94.1,13,40.6,196
Run10,0,61.3,18,41.8,185.9
Run11,1,22.9,13,40.6,236.1
Run12,4,22.9,23,43,166.4
Run13,3,22.9,23,40.6,148.8
Run14,6,94.1,13,43,254.3
Run15,8,94.1,23,43,142.6
Run16,2,22.9,13,43,254
Run17,5,94.1,13,40.6,194
Run18,7,94.1,23,40.6,129.2
Run19,0,61.3,18,41.8,178.1
Run20,2,22.9,13,43,270
Run21,3,22.9,23,40.6,157
Run22,6,94.1,13,43,214.7
Run23,8,94.1,23,43,150.3
Run24,5,94.1,13,40.6,189.1
Run25,4,22.9,23,43,165.2
Run26,7,94.1,23,40.6,125.9
Run27,1,22.9,13,40.6,236.1
Run28,0,61.3,18,41.8,176.5
