ID,Combo#,ball_mass,firing_height,band_length,short_long
run1,0,61.3,18,41.8,long
run2,8,94.1,23,43,short
run3,3,22.9,23,40.6,short
run4,1,22.9,13,40.6,long
run5,2,22.9,13,43,long
run6,4,22.9,23,43,long
run7,7,94.1,23,40.6,short
run8,6,94.1,13,43,long
run9,5,94.1,13,40.6,long
run10,0,61.3,18,41.8,long
run11,1,22.9,13,40.6,long
run12,4,22.9,23,43,long
run13,3,22.9,23,40.6,short
run14,6,94.1,13,43,long
run15,8,94.1,23,43,short
run16,2,22.9,13,43,long
run17,5,94.1,13,40.6,long
run18,7,94.1,23,40.6,short
run19,0,61.3,18,41.8,long
run20,2,22.9,13,43,long
run21,3,22.9,23,40.6,long
run22,6,94.1,13,43,long
run23,8,94.1,23,43,long
run24,5,94.1,13,40.6,long
run25,4,22.9,23,43,long
run26,7,94.1,23,40.6,short
run27,1,22.9,13,40.6,long
run28,0,61.3,18,41.8,long
trial 1,0,61.3,14,47,long
trial 2,1,22.9,9,42,long
trial 3,2,22.9,9,52,long
trial 4,3,22.9,19,42,long
trial 5,4,22.9,19,52,long
trial 6,5,94.1,9,42,long
trial 7,6,94.1,9,52,long
trial 8,7,94.1,19,42,long
trial 9,8,94.1,19,52,long
trial 10,0,61.3,14,47,long
trial 11,1,22.9,9,42,long
trial 12,2,22.9,9,52,long
trial 13,3,22.9,19,42,long
trial 14,4,22.9,19,52,long
trial 15,5,94.1,9,42,long
trial 16,6,94.1,9,52,long
trial 17,7,94.1,19,42,long
trial 18,8,94.1,19,52,long
trial 19,0,61.3,14,47,long
trial 20,1,22.9,9,42,long
trial 21,2,22.9,9,52,long
trial 22,3,22.9,19,42,long
trial 23,4,22.9,19,52,long
trial 24,5,94.1,9,42,long
trial 25,6,94.1,9,52,long
trial 26,7,94.1,19,42,long
trial 27,8,94.1,19,52,long
trial 28,0,61.3,14,47,long
ob1,0,61.3,10.4,39.5,long
ob2,3,22.9,14.2,33,short
ob3,2,22.9,6.6,46,long
ob4,6,94.1,6.6,46,long
ob5,8,94.1,14.2,46,long
ob6,5,94.1,6.6,33,short
ob7,4,22.9,14.2,46,long
ob8,7,94.1,14.2,33,short
ob9,1,22.9,6.6,33,short
ob10,0,61.3,10.4,39.5,long
ob11,2,22.9,6.6,46,long
ob12,1,22.9,6.6,33,short
ob13,3,22.9,14.2,33,short
ob14,4,22.9,14.2,46,long
ob15,5,94.1,6.6,33,short
ob16,7,94.1,14.2,33,short
ob17,8,94.1,14.2,46,long
ob18,6,94.1,6.6,46,long
ob19,0,61.3,10.4,39.5,long
ob20,1,22.9,6.6,33,short
ob21,4,22.9,14.2,46,long
ob22,3,22.9,14.2,33,short
ob23,6,94.1,6.6,46,long
ob24,8,94.1,14.2,46,long
ob25,2,22.9,6.6,46,long
ob26,5,94.1,6.6,33,short
ob27,7,94.1,14.2,33,short
ob28,0,61.3,10.4,39.5,long
op1,-1,68.5,7.4,47.3,long
op2,-1,68.5,7.4,47.3,long
op3,-1,68.5,7.4,47.3,long
op4,-1,68.5,7.4,47.3,long
test1,-1,68.5,21.5,41.2,short
test2,-1,68.5,21.5,41.2,short
test3,-1,68.5,21.5,41.2,short
test4,-1,68.5,21.5,41.2,short
T1,-1,68.5,16.5,42.9,long
T2,-1,68.5,16.5,42.9,long
T3,-1,68.5,16.5,42.9,long
T4,-1,68.5,16.5,42.9,long
Hit1,-1,22.9,22.1,43,long
Hit2,-1,22.9,22.1,43,long
Hit3,-1,22.9,22.1,43,long
Hit4,-1,22.9,22.1,43,long
